X..Pathway.Id	Pathway.Name	hsa-let-7b-3p(-)	hsa-let-7g-5p(-)	hsa-miR-100-5p(+)	hsa-miR-126-3p(+)	hsa-miR-1301-3p(-)	hsa-miR-139-5p(+)	hsa-miR-142-3p(+)	hsa-miR-145-3p(+)	hsa-miR-146-5p(-)	hsa-miR-148-3p(-)	hsa-miR-148a-3p(+)	hsa-miR-15a-5p(-)	hsa-miR-185-5p(-)	hsa-miR-20a-5p(-)	hsa-miR-221-3p(-)	hsa-miR-27a-3p(+)	hsa-miR-32-5p(+)	hsa-miR-320a-3p(-)	hsa-miR-335-5p(-)	hsa-miR-345-5p(+)	hsa-miR-378c(-)	hsa-miR-501-3p(-)	hsa-miR-582-3p(+)	hsa-miR-7-5p(+)	hsa-miR-99b-5p(+)
path:hsa00010	Glycolysis / Gluconeogenesis	0.00364780962145964	0	0	0	0.00012573780774463	0.0030911336733919	0	0	0	0	-2.65831381069002e-07	1.57692989919904e-05	0	2.51351439932065e-08	0.0244427471930126	0	0	0	0	0	0	0	1.31220652794275e-05	-0.00700457548966074	0
path:hsa00020	Citrate cycle (TCA cycle)	0.0013480658042078	0	0	0	1.52381794018625e-08	0.00545637090420512	0	0	0	0	-4.76069457182031e-06	0.00708620834675685	0	4.01331842330119e-09	0.0101699514845105	0	0	0	0	0	0	0	-1.56280735823243e-05	-0.00427789568966033	0
path:hsa00030	Pentose phosphate pathway	0.000348573901263672	0	0	0	-8.67371163190507e-10	-6.70067147599572e-05	0	0	0	0	-1.09152743160528e-06	8.42864345159661e-06	0	3.26009731589772e-10	0.00420065588193889	0	0	0	0	0	0	0	-0.000932367900917148	5.9962175746571e-07	0
path:hsa00040	Pentose and glucuronate interconversions	3.8436246339423e-07	0	0	0	2.43588032558981e-06	-3.48443404871994e-05	0	0	0	0	1.40513305367905e-09	2.62562579931714e-06	0	0	3.78167830671985e-06	0	0	0	0	0	0	0	7.46881757346357e-06	4.06737848889835e-08	0
path:hsa00051	Fructose and mannose metabolism	0.000179223977669559	0	0	0	1.23927468803477e-10	-0.000249522450036085	0	0	0	0	6.80187400599524e-07	7.86480010671891e-05	0	-1.61688086175119e-08	0.00859464672428108	0	0	0	0	0	0	0	-0.000346367407758566	1.15377270800558e-05	0
path:hsa00052	Galactose metabolism	0.00215368132910338	0	0	0	-5.59315914230052e-10	0.00465853411728996	0	0	0	0	6.80187044413108e-07	7.17917027889941e-06	0	6.24170913442097e-09	0.00756488232331426	0	0	0	0	0	0	0	1.97565163969377e-05	1.64760154784146e-05	0
path:hsa00053	Ascorbate and aldarate metabolism	1.00522609804726e-06	0	0	0	2.43505096393751e-06	-0.00015959789787623	0	0	0	0	1.40513098810771e-09	-5.09596871368244e-07	0	0	3.83074046012527e-06	0	0	0	0	0	0	0	-5.06407664680017e-06	4.16873716411328e-08	0
path:hsa00061	Fatty acid biosynthesis	6.13094008713735e-05	0	0	0	-1.57812339192869e-10	-0.000575796302702959	0	0	0	0	-1.05917951155831e-06	9.1589343535897e-06	0	0	5.20917449424826e-06	0	0	0	0	0	0	0	-0.000926781534417453	-0.000103183981431886	0
path:hsa00062	Fatty acid elongation	5.67768391586372e-05	0	0	0	4.94203273031749e-11	2.35309862866431e-05	0	0	0	0	1.16399599691265e-07	0.000241907820975373	0	0	9.46524457529108e-08	0	0	0	0	0	0	0	-9.50402602417319e-07	-5.9157443663262e-06	0
path:hsa00071	Fatty acid degradation	0.000595797330069187	0	0	0	0.000134710805758641	-7.28747817548876e-05	-0.00292503407637644	0	0	0	6.85797228086245e-07	0.00555899228584397	0	5.01664802912649e-09	2.18593571258382e-06	-3.4572934916187e-08	0	0	0	0	0	0	-6.78471130444706e-05	-0.00352016799722744	0
