X..Pathway.Id	Pathway.Name	hsa-let-7a-5p(+)	hsa-let-7b-5p(+)	hsa-let-7c-5p(+)	hsa-let-7d-5p(+)	hsa-let-7e-5p(+)	hsa-miR-1-3p(-)	hsa-miR-1228-5p(+)	hsa-miR-199a-5p(+)	hsa-miR-200a-3p(-)	hsa-miR-206(-)	hsa-miR-3168(+)	hsa-miR-335-3p(+)	hsa-miR-340-3p(+)	hsa-miR-378a-3p(-)	hsa-miR-432-5p(+)	hsa-miR-4433b-3p(+)	hsa-miR-4433b-5p(+)	hsa-miR-486-3p(+)	hsa-miR-582-3p(-)	hsa-miR-654-3p(+)
path:hsa00010	Glycolysis / Gluconeogenesis	-0.112836320226209	0.0103489354145155	-0.0170900202151746	0	0	-0.00171887697793181	-0.00347057640612601	-0.100783345680759	0.00621239522115993	0.00506194588058185	0	0	-0.249485112787944	0.0080414419418764	2.52282402187702e-06	0	0	-0.000156611880447335	-1.36576858553137e-05	0
path:hsa00020	Citrate cycle (TCA cycle)	-0.00999815306915543	-5.63542876159273e-05	-0.0148148212340736	0	0	0.00848369093941348	-2.17029917015949e-07	-9.75020488243954e-06	-0.00637234925283298	0.000237724276388765	0	0	-0.12004269196979	-1.02196064027036e-05	8.91837987668228e-06	0	0	0.000141204286687566	1.62659851910465e-05	0
path:hsa00030	Pentose phosphate pathway	0	-0.142902741330347	0.00349481929307543	0	0	0.077993461348897	1.27163312715746e-07	-0.0167342822637786	-7.20207903557739e-05	0.166086547033586	0	0	0.000642340414354627	-0.000136373797527182	0.00330583002236309	0	0	-0.000304307103531275	0.000970425586303764	0
path:hsa00040	Pentose and glucuronate interconversions	-1.2719596367276e-06	0.0051675760362044	0.000163433420196202	0	0	-0.00414845601241134	-5.10214930842512e-05	-8.43969635450251e-12	-0.00257414996182977	-0.00833596075523506	0	0	-0.00380726132066408	-6.93746719624916e-05	-3.59045213462169e-06	0	0	-0.000465986168418165	-7.77368211152982e-06	0
path:hsa00051	Fructose and mannose metabolism	-1.09576704224719e-06	0.0103653138636914	0.000222716111925272	0	0	-0.00421914037893754	-3.45217842467713e-05	-0.082404233581176	-0.00266047111511971	-0.00713832518648574	0	0	-0.035801052017193	0.000247888334918526	-7.00565464776597e-06	0	0	-0.00021635760924658	0.00036050554123537	0
path:hsa00052	Galactose metabolism	-1.23689864185619e-06	0.010385225625942	0.000224264648407212	0	0	-0.00422531348117809	-3.90863089065647e-05	-0.0895164930296818	-0.00266021247966631	-0.00852624049667574	0	0	-0.0707956184616841	0.0040888293077812	-7.0866673979659e-06	0	0	-0.000725370051215011	-2.05629440792191e-05	0
path:hsa00053	Ascorbate and aldarate metabolism	0	-1.68270615505366e-08	0.000105108112907073	0	0	-0.00414845601157731	-1.20471450329584e-05	-8.18302200958621e-14	-0.00567473062820129	-0.008340333727425	0	0	-0.00369274391381519	-2.2813546492022e-05	-1.25709876196837e-07	0	0	-0.00108985103834939	5.27078371555281e-06	0
path:hsa00061	Fatty acid biosynthesis	0	-1.33591799336174e-06	-0.00242386408575901	0	0	-2.73524095556265e-06	1.95530447249548e-07	-0.00277081571193397	0.00306767538533603	0.00600638264874644	0	0	-0.107042976386343	-0.000482799315996881	-5.48659571210324e-07	0	0	-1.83379010698977	0.000964611193744303	0
path:hsa00062	Fatty acid elongation	0	-3.57364871852778e-07	-1.0590958969774e-05	0	0	-1.20448914935689e-08	3.4835123236494e-08	-9.5028467878436e-07	-6.35663908120346e-05	-1.20657478439573e-05	0	0	-0.000106553982332577	-5.60368131203151e-07	4.20781483910832e-09	0	0	-0.0648519320927267	9.89196433905768e-07	0
path:hsa00071	Fatty acid degradation	0	-0.00723153412450496	-0.00465077457266497	0	0	-1.14027170476162e-06	-1.7038642391412e-07	-0.00300579122104408	-0.033267327816601	0.00588567784722959	0	0	-0.142615560147257	-0.000163233505797663	5.95220707728117e-06	0	0	-0.00863913392974149	7.06165177827683e-05	0
path:hsa00100	Steroid biosynthesis	0	-1.03595285996726e-05	2.03768680890513e-07	0	0	-1.46315960997412e-08	-9.70787919418549e-07	-1.34284178052457e-05	2.7648909621292e-05	-0.002254972028936	0	0	-0.036013775737943	0.0042343632391478	6.71788566880195e-09	0	0	0.000212031623735589	3.00890335494906e-06	0
path:hsa00120	Primary bile acid biosynthesis	0	-8.22962425012013e-08	-0.00213240003879156	0	0	-0.00650700790736031	-1.02968697845742e-07	1.24174172601522e-06	1.1974215658886e-05	-0.00225732660959468	0	0	-0.0357103244713089	0.0043234124293644	3.86761824710589e-07	0	0	0.00034361685050748	2.75826882681696e-05	0
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	-9.22895464891349e-07	0.000137940925642114	0	0	0.0261831077748173	-0.491184919411828	-4.96784459695593e-05	-1.25096573865594e-05	-6.71985380876811e-06	0	0	-0.00237525823689805	2.07246392981609e-06	-9.23706183547572e-08	0	0	9.46312859924633e-05	2.0466807542398e-05	0
