X..Pathway.Id	Pathway.Name	hsa-let-7g-5p(+)	hsa-miR-100-5p(-)	hsa-miR-103a-3p(+)	hsa-miR-106b-5p(+)	hsa-miR-11400(-)	hsa-miR-122-5p(-)	hsa-miR-1273h-3p(-)	hsa-miR-1299(-)	hsa-miR-1307-3p(-)	hsa-miR-146-5p(+)	hsa-miR-148a-3p(-)	hsa-miR-148a-5p(-)	hsa-miR-148b-3p(-)	hsa-miR-151a-3p(-)	hsa-miR-15b-5p(+)	hsa-miR-16-5p(+)	hsa-miR-17-5p(+)	hsa-miR-191-5p(+)	hsa-miR-192-5p(-)	hsa-miR-193b-5p(-)	hsa-miR-197-3p(+)	hsa-miR-20a-5p(+)	hsa-miR-20b-5p(+)	hsa-miR-221-3p(+)	hsa-miR-223-3p(+)	hsa-miR-26b-5p(+)	hsa-miR-27a-5p(-)	hsa-miR-30a-3p(-)	hsa-miR-3168(+)	hsa-miR-335-5p(+)	hsa-miR-361-3p(-)	hsa-miR-361-5p(+)	hsa-miR-3615(-)	hsa-miR-375-3p(-)	hsa-miR-423-3p(-)	hsa-miR-499a-5p(+)	hsa-miR-502-3p(+)	hsa-miR-532-5p(-)	hsa-miR-548o-3p(-)	hsa-miR-582-3p(-)	hsa-miR-652-3p(+)	hsa-miR-664a-5p(-)	hsa-miR-6842-3p(-)	hsa-miR-769-5p(-)	hsa-miR-7706(-)	hsa-miR-93-5p(+)	hsa-miR-941(-)	hsa-miR-98-5p(+)	hsa-miR-99a-5p(-)	hsa-miR-99b-5p(-)
path:hsa00010	Glycolysis / Gluconeogenesis	0	0	0.0185205604893709	0	0	0.119331921859756	0	0	0	0	2.77502198326856e-07	0	-0.0152159899698601	0.0314391313850841	5.05440964899131e-05	0.000455961952601383	0	0.000403389367128636	-6.45619252499998e-11	0	-0.00498569757301292	-2.48604600867034e-08	0	-0.0238632152397878	0.010020144666847	9.7234193370689e-06	0	9.90251546594468e-05	0	0	0	0	0	0.0785948473555632	0	-0.14066468169332	0	0.000182640252545964	0	-1.36576858553137e-05	-0.140835467356498	0	0	-1.02389517066055e-05	0	0	0.00180635743325432	-0.0148979961222553	3.63768757637494e-05	0
path:hsa00020	Citrate cycle (TCA cycle)	0	0	0.0257472744234763	0	0	0.0104596969348823	0	0	0	0	4.96970374201212e-06	0	-0.00841728315732817	0.00202499438533956	3.09228613493385e-05	-0.00474297148431788	0	0.0049623191065575	-1.03085768722729e-11	0	-0.00342583413312153	-3.96945975343039e-09	0	-0.00992882425762886	5.99996305120621e-05	-0.167523236336601	0	0.0239019403696113	0	0	0	0	0	0.0792883297829134	0	-0.147454028826772	0	-3.01117416246502e-05	0	1.62659851910465e-05	0.0947138410065911	0	0	-0.000389798360118873	0	0	0.00596521337786094	0.00386748970814702	0.000449523698269435	0
path:hsa00030	Pentose phosphate pathway	0	0	0.0135935731824504	0	0	0.0213719577472279	0	0	0	0	1.13944885132244e-06	0	-0.000836051899246323	-0.000258311673349604	-6.74695014010467e-06	-3.70516927789585e-05	0	-2.65433547107457e-13	-8.37385929730899e-13	0	1.18871803930273e-05	-3.22447005764317e-10	0	-0.00410105929040759	2.45397858506833e-05	-1.57708989590922e-18	0	4.06269791782019e-07	0	0	0	0	0	0.000448823876972353	0	-0.00513118559799071	0	3.67411870711195e-05	0	0.000970425586303764	6.28691109588533e-06	0	0	0.000462461224990104	0	0	4.51239307330392e-07	-0.0038458040516849	-0.000171786789610201	0
path:hsa00040	Pentose and glucuronate interconversions	0	0	-0.00721524033427226	0	0	-0.00448849338982899	0	0	0	0	-1.46682272713488e-09	0	0.000333575469681341	-0.0643711234351158	5.41454427059356e-09	1.02044502686911e-05	0	-8.69180869763432e-08	0	0	-0.000159334011431072	0	0	-3.69201557780255e-06	-6.34540989373981e-07	0	0	-1.14752650111934e-07	0	0	0	0	0	-3.91124354558724e-06	0	-8.61356480103344e-08	0	0.000501051760286788	0	-7.77368211152982e-06	-0.0466640140876895	0	0	-0.000123835194424454	0	0	0.000131025477767232	-0.00170748482349779	-0.000183912291419918	0
path:hsa00051	Fructose and mannose metabolism	0	0	-0.00167047692253273	0	0	-0.00174636386071909	0	0	0	0	-7.10049724684696e-07	0	0.0192363663308538	-0.0658337783941813	2.29805545123861e-05	-9.53082453024253e-05	0	-7.40129610025251e-08	4.15310695505661e-11	0	-0.000365812915913679	1.59921113399567e-08	0	-0.00839086961346503	1.98100467326252e-05	7.82174954570226e-17	0	-4.70709441780806e-08	0	0	0	0	0	-1.81398320617763e-05	0	-0.000691146086970433	0	-2.61272276482683e-05	0	0.00036050554123537	-0.0467927677688452	0	0	-0.00240017772524513	0	0	0.000133247537763024	-0.00412663515396326	-0.000354970424289134	0
path:hsa00052	Galactose metabolism	0	0	-0.00857672577223258	0	0	0.107064866166701	0	0	0	0	-7.10049352860599e-07	0	-0.0142642992510919	-0.06559425661605	2.53246439698561e-05	0.000261070049804215	0	-8.3566564248643e-08	-1.6032403024134e-11	0	-0.00123776917715419	-6.17349798557048e-09	0	-0.007385520691247	-6.41267278109103e-07	-3.01946091029157e-17	0	-0.0117072298995017	0	0	0	0	0	-0.00261130819015705	0	-0.0672743707846985	0	0.000258758213430628	0	-2.05629440792191e-05	-0.0469621791270587	0	0	0.000696018043076557	0	0	0.000133439319577313	-0.00502870581875484	-0.000358934510154506	0
path:hsa00053	Ascorbate and aldarate metabolism	0	0	-0.000345040734325629	0	0	-0.00448849338956808	0	0	0	0	-1.46682057087859e-09	0	0.000418623135984513	-0.0644077632676985	5.41454357055122e-09	4.46960666634705e-05	0	-9.87758146150076e-10	0	0	-1.80895088399799e-05	0	0	-3.73991447875652e-06	-6.34540982986035e-07	0	0	-1.14780221200933e-07	0	0	0	0	0	-3.45141380780698e-06	0	-2.1785396832155e-07	0	0.00104174475935307	0	5.27078371555281e-06	0.000105162462825774	0	0	-0.000123997840599512	0	0	0.000131025482688714	-0.00175962941490804	-1.06059846094745e-05	0
path:hsa00061	Fatty acid biosynthesis	0	0	0.01859269898176	0	0	-2.92980576813818e-06	0	0	0	0	1.10568075784816e-06	0	-0.00819216020294977	0.0333758300052396	0.017662762007187	-0.000122015519904384	0	-0.00396985490486697	0	0	-0.00031166703959355	0	0	-5.08566615676467e-06	9.37130471920481e-08	0	0	0.0115965534302547	0	0	0	0	0	0.000570767975233285	0	-2.51653439039493e-06	0	1.6191696304185	0	0.000964611193744303	-0.0464456082540084	0	0	-0.00100525150558264	0	0	-0.000130950800347151	-0.00341749079570478	0.000671103188967269	0
path:hsa00062	Fatty acid elongation	0	0	-0.00310963239494428	0	0	5.52666082140775e-09	0	0	0	0	-1.21509901008669e-07	0	5.03391662878218e-05	4.25575477665287e-05	1.59510322684878e-14	1.45229044248257e-05	0	-5.22603669932807e-11	0	0	0.000553880058045611	0	0	-9.24082578827205e-08	1.96996164820324e-08	3.04264312016522e-10	0	7.43280734823777e-05	0	0	0	0	0	1.82337582584579e-07	0	-9.60521022025108e-07	0	0.0572569210059366	0	9.89196433905768e-07	-1.33205004705265e-05	0	0	-2.87138527760405e-06	0	0	5.67099457287979e-08	-0.00183655603654683	3.65506169001992e-05	0
path:hsa00071	Fatty acid degradation	0	0	0.00513210885620783	0	0	0.00213294484742954	0	0	0	0	-7.15905840894677e-07	0	0.00115234780293991	0.0319864326501351	1.4551895107718e-12	0.000108570793626457	0	-2.36997696336937e-09	-1.28857210903412e-11	0	-0.0022715017676439	-4.96182469178798e-09	0	-2.13410767610599e-06	-1.59604553268737e-08	7.02643813340277e-09	0	0.0129670817076874	0	0	0	0	0	0.000577501358586977	0	-1.59713431740793e-05	0	0.00750297850737337	0	7.06165177827683e-05	-0.0467133784427262	0	0	-0.000310139752042842	0	0	1.31420819252102e-06	0.0019376459543344	0.00263607157259743	0
