X..Pathway.Id	Pathway.Name	hsa-miR-1-3p(-)	hsa-miR-11400(+)	hsa-miR-1228-5p(-)	hsa-miR-1246(-)	hsa-miR-126-3p(+)	hsa-miR-139-5p(+)	hsa-miR-142-3p(+)	hsa-miR-144-5p(+)	hsa-miR-146a-5p(-)	hsa-miR-146b-5p(+)	hsa-miR-150-5p(+)	hsa-miR-193a-5p(-)	hsa-miR-199a-3p(-)	hsa-miR-199a-5p(+)	hsa-miR-20a-5p(-)	hsa-miR-215-5p(+)	hsa-miR-221-3p(-)	hsa-miR-223-3p(-)	hsa-miR-224-5p(+)	hsa-miR-3168(-)	hsa-miR-32-5p(+)	hsa-miR-335-5p(-)	hsa-miR-338-5p(-)	hsa-miR-340-3p(+)	hsa-miR-363-3p(+)	hsa-miR-370-3p(+)	hsa-miR-374a-5p(+)	hsa-miR-375-3p(+)	hsa-miR-378a-3p(-)	hsa-miR-381-3p(+)	hsa-miR-409-3p(+)	hsa-miR-4433b-3p(+)	hsa-miR-450b-5p(-)	hsa-miR-493-3p(+)	hsa-miR-495-3p(+)	hsa-miR-501-3p(-)	hsa-miR-502-3p(-)	hsa-miR-542-3p(-)	hsa-miR-543(+)	hsa-miR-99b-5p(+)
path:hsa00010	Glycolysis / Gluconeogenesis	-0.00171887697793181	0	0.00367730018832747	0	0	0.00302685535317591	0	0	-1.46836169764538e-09	0	7.6280525485949e-06	-7.9822016672727e-11	0	-0.100783345680759	3.41907755379201e-11	-0.0143597151768765	0.0252846200822655	-0.0106169914039135	0	0	0	0	2.51784450408917e-06	-0.249485112787944	0	0	-0.692752707916035	-0.0741765449938304	0.0080414419418764	0	3.69268757850247e-06	0	-0.0829224175852057	0	-0.0047577181300672	0	0	-1.99555041681817e-10	9.68267184058472e-09	0
path:hsa00020	Citrate cycle (TCA cycle)	0.00848369093941348	0	2.29957235145932e-07	0	0	0.00534290885653741	0	0	7.94034554213624e-14	0	9.38369575211097e-05	-1.27451495875374e-11	0	-9.75020488243954e-06	5.45922750274983e-12	6.85170960120908e-06	0.0105202315235019	-6.35734894619039e-05	0	0	0	0	2.58181388930569e-09	-0.12004269196979	0	0	0.0121457167835912	-0.074831042485785	-1.02196064027036e-05	0	-1.83084592024615e-08	0	-0.246121255028176	0	-0.0226895813505322	0	0	-3.18628739688435e-11	-5.23602327060447e-13	0
path:hsa00030	Pentose phosphate pathway	0.077993461348897	0	-1.34737755080842e-07	0	0	-6.56133492432743e-05	0	0	1.28319509902227e-10	0	-5.01932180292188e-15	-1.03531351312184e-12	0	-0.0167342822637786	4.43463763683872e-13	0.000390467553191926	0.0043453375855199	-2.60014904068811e-05	0	0	0	0	9.97682017946334e-07	0.000642340414354627	0	0	5.77903686632246e-05	-0.00042359271154165	-0.000136373797527182	0	-6.31428664208231e-06	0	0.00200965237768836	0	-3.29138057487956e-05	0	0	-2.5882837828046e-12	-8.46164611294559e-10	0
path:hsa00040	Pentose and glucuronate interconversions	-0.00414845601241134	0	5.40605721275259e-05	0	0	-3.41197727679738e-05	0	0	3.72598858470862e-08	0	-1.64361232324564e-09	0	0	-8.43969635450251e-12	0	0.000118259669054072	3.91192931398851e-06	6.72337222026779e-07	0	0	0	0	-1.40087383871329e-10	-0.00380726132066408	0	0	0.000107539858749974	3.69136836068356e-06	-6.93746719624916e-05	0	8.95189669542501e-09	0	0.000901306283790863	0	-4.30978634522024e-05	0	0	0	-2.45699168027544e-07	0
path:hsa00051	Fructose and mannose metabolism	-0.00421914037893754	0	3.6578063369524e-05	0	0	-0.000244333776352201	0	0	3.78917759394292e-08	0	-1.39957768302884e-09	5.1347504171609e-11	0	-0.082404233581176	-2.19940695906239e-11	0.000357087018978818	0.00889066909904701	-2.09900258792958e-05	0	0	0	0	2.60834771080263e-05	-0.035801052017193	0	0	0.000325568812240578	1.71200799337851e-05	0.000247888334918526	0	0.000441914391292313	0	0.000302432197191887	0	-0.00370239209258175	0	0	1.28368760429023e-10	-2.49865978162462e-07	0
path:hsa00052	Galactose metabolism	-0.00422531348117809	0	4.14144724920709e-05	0	0	0.0045616626198501	0	0	3.79463131896059e-08	0	-1.58023536398991e-09	-1.98218801025656e-11	0	-0.0895164930296818	8.4904576653968e-12	-0.00729477738174765	0.00782543688733672	6.7946416001574e-07	0	0	0	0	1.35328689792708e-06	-0.0707956184616841	0	0	0.000215781034758698	0.00246451040974293	0.0040888293077812	0	1.03467596593032e-05	0	-0.00327062912847401	0	-0.000572056700435832	0	0	-4.95547002564141e-11	-2.50225607739695e-07	0
path:hsa00053	Ascorbate and aldarate metabolism	-0.00414845601157731	0	1.27647294035392e-05	0	0	-0.000156279152758932	0	0	3.72598872466143e-08	0	-1.86784076580103e-11	0	0	-8.18302200958621e-14	0	4.0359905611418e-05	3.96268129777651e-06	6.72337215258335e-07	0	0	0	0	4.77372713505083e-11	-0.00369274391381519	0	0	0.000105889670915868	3.25738849582485e-06	-2.2813546492022e-05	0	8.95202826177803e-09	0	0.000829470380727879	0	-4.10397606765458e-05	0	0	0	-2.45699177256314e-07	0
path:hsa00061	Fatty acid biosynthesis	-2.73524095556265e-06	0	-2.07177156286013e-07	0	0	-0.000563822954722926	0	0	-3.72386497318284e-08	0	-7.50695588239582e-05	0	0	-0.00277081571193397	0	0.00099529825984875	5.38859224739464e-06	-9.92950351070725e-08	0	0	0	0	5.20120255828439e-07	-0.107042976386343	0	0	-0.00936528113120518	-0.000538681577997013	-0.000482799315996881	0	-1.46114280057709e-05	0	0.0804893881318695	0	-0.00314694623867899	0	0	0	2.45559132819911e-07	0
path:hsa00062	Fatty acid elongation	-1.20448914935689e-08	0	-3.69100662967277e-08	0	0	2.30416731635807e-05	0	0	6.82605690655374e-15	0	-0.000270250412089992	0	0	-9.5028467878436e-07	0	-6.26330358824471e-07	9.79125264366251e-08	-2.08730178858729e-08	0	0	0	0	2.63354244893354e-10	-0.000106553982332577	0	0	-2.53888174973689e-07	-1.72087259581577e-07	-5.60368131203151e-07	0	-1.73214607356675e-14	0	-0.00226927034579175	0	4.41539987896656e-05	0	0	0	-4.5012389724755e-14	0
path:hsa00071	Fatty acid degradation	-1.14027170476162e-06	0	1.80535437180371e-07	0	0	-7.13593932106677e-05	-0.00281198055069996	0	1.21116895931903e-05	0	-3.57478570361645e-06	-1.59314369844218e-11	0	-0.00300579122104408	6.82403437843729e-12	0.00029541019035157	2.26122512254834e-06	1.69111347831752e-08	0	0	0	0	7.6913291285248e-07	-0.142615560147257	0	-0.552170726319266	8.2506055892214e-05	-0.000545036436236463	-0.000163233505797663	0	3.64336449735688e-13	0	0.0817168504408715	0	-0.00401391406215653	0	0	-3.98285924610544e-11	-9.65376195160975e-12	0
