X..Pathway.Id	Pathway.Name	hsa-let-7b-3p(+)	hsa-let-7c-5p(+)	hsa-miR-100-5p(+)	hsa-miR-1228-5p(-)	hsa-miR-126-3p(+)	hsa-miR-139-5p(+)	hsa-miR-142-3p(+)	hsa-miR-144-5p(+)	hsa-miR-146a-5p(-)	hsa-miR-150-5p(+)	hsa-miR-15b-3p(+)	hsa-miR-182-5p(+)	hsa-miR-18a-3p(+)	hsa-miR-191-5p(+)	hsa-miR-192-5p(+)	hsa-miR-194-5p(+)	hsa-miR-20a-5p(-)	hsa-miR-221-3p(-)	hsa-miR-27b-3p(+)	hsa-miR-30a-3p(+)	hsa-miR-30c-5p(+)	hsa-miR-335-5p(-)	hsa-miR-340-3p(+)	hsa-miR-342-3p(+)	hsa-miR-363-3p(+)	hsa-miR-378c(-)	hsa-miR-423-3p(+)	hsa-miR-425-5p(+)	hsa-miR-4433b-5p(+)	hsa-miR-4732-3p(+)	hsa-miR-484(+)	hsa-miR-511-5p(+)	hsa-miR-542-3p(-)	hsa-miR-654-3p(+)	hsa-miR-92a-3p(+)	hsa-miR-92b-3p(+)	hsa-miR-99a-5p(+)
path:hsa00010	Glycolysis / Gluconeogenesis	-0.0037499548618089	-0.0174494858753664	0	0.00351407559153181	0	0.00305296132078687	0	0	-1.43194644190093e-09	7.9123155182272e-06	0	-0.0137818605866172	0	0.000420087030752658	6.24583189749261e-11	-0.0144477950666214	2.52793556948189e-08	0.0244820253944463	0	-9.63219719775903e-05	-0.0155085632089773	0	-0.261486386526519	-0.0312000484083585	0	0	0	0	0	0	-0.146376106189698	0	-1.95878475487291e-10	0	-0.0028033094239078	0	-3.5670903839492e-05
path:hsa00020	Citrate cycle (TCA cycle)	-0.00138581407505158	-0.0151264311343826	0	2.19750106256624e-07	0	0.00538899028074907	0	0	7.74342559109157e-14	9.73338359230715e-05	0	-0.0157017217628624	0	0.0051677264424676	9.97269489676456e-12	-0.00883928635036083	4.03634464821929e-09	0.0101862940584375	0	-0.0232494666472314	-1.81660877704783e-05	0	-0.125817245772002	0.0236629034758651	0	0	0	0	0	0	0.0984119873087377	0	-3.12758381099296e-11	0	-0.00284889433482388	0	-0.000440799718994038
path:hsa00030	Pentose phosphate pathway	-0.000358334598399453	0.0035683281309012	0	-1.28757140330915e-07	0	-6.61792500777475e-05	0	0	1.25137196050275e-10	-5.20636919308459e-15	0	0	0	-2.76420748172472e-13	8.10101577698037e-13	-2.88827539371082e-05	3.2788019702842e-10	0.00420740611367765	0	-3.95179463581236e-07	-0.00511773471254153	0	0.000673239665455722	-0.00443327545064571	0	0	0	0	0	0	6.53267409486556e-06	0	-2.54059770793773e-12	0	2.50539960096748e-18	0	0.000168452895539398
path:hsa00040	Pentose and glucuronate interconversions	-3.95125304737063e-07	0.000166871023051467	0	5.16609814941403e-05	0	-3.44140483704863e-05	0	0	3.63358435799073e-08	-1.70486231031031e-09	0	0	0	-9.05159234525624e-08	0	4.58126999054283e-12	0	3.78775526366402e-06	0	1.11620139210573e-07	-6.00516901841684e-08	0	-0.00399040645823553	0.000167437395410128	0	0	0	0	0	0	-0.0484868416361396	0	0	0	-3.98191466087804e-10	0	0.000180343075770077
path:hsa00051	Fructose and mannose metabolism	-0.000184242571887775	0.000227400646712275	0	3.49544701518672e-05	0	-0.000246441101912051	0	0	3.69520628471725e-08	-1.45173360433042e-09	0	0	0	-7.70766102390799e-08	-4.01778723189349e-11	-0.00723588289336463	-1.62615763933562e-08	0.00860845786681031	0	4.57860043912315e-08	-0.00511779189882618	0	-0.0375232318321967	-0.0260513576534484	0	0	0	0	0	0	-0.0486198158464923	0	1.26003717476216e-10	0	-4.46148246434912e-11	0	0.000348081455727969
path:hsa00052	Galactose metabolism	-0.00221398828583237	0.000228981754582767	0	3.95762052231979e-05	0	0.0046010059655706	0	0	3.70052475777922e-08	-1.63912357882903e-09	0	0	0	-8.70256697525172e-08	1.55100229452332e-11	-0.00725056415339836	6.27752064580469e-09	0.00757703868893763	0	0.0113876466458761	-0.00511777361594356	0	-0.0742011827743433	-0.0288409886582166	0	0	0	0	0	0	-0.0487958417333046	0	-4.86417133721584e-11	0	-5.07138637297503e-11	0	0.000351968609936416
path:hsa00053	Ascorbate and aldarate metabolism	-1.03337423954739e-06	0.000107318921128593	0	1.21981404106928e-05	0	-0.000157627026384909	0	0	3.63358449447274e-08	-1.93744673134786e-11	0	0	0	-1.02864482936561e-09	0	4.58126939823391e-12	0	3.83689625735401e-06	0	1.11646957665652e-07	-6.00361204865505e-08	0	-0.00387038028682724	-5.29179362403717e-05	0	0	0	0	0	0	0.000108462094232611	0	0	0	-3.45962341517101e-10	0	1.04001525470395e-05
path:hsa00061	Fatty acid biosynthesis	-6.30261745348984e-05	-0.0024748468167817	0	-1.97981168450319e-07	0	-0.000568685804802256	0	0	-3.63151341186541e-08	-7.78670612774798e-05	0	0	0	-0.00413418075784987	0	-5.66994476471729e-09	0	5.21754536203464e-06	0	-0.0112799914161917	-0.00516238342084736	0	-0.112192189688286	-0.0273513916508654	0	0	0	0	0	0	-0.0482591012139191	0	0	0	-0.00139044188129153	0	-0.000658078980600187
path:hsa00062	Fatty acid elongation	-5.83666929295171e-05	-1.08137255908897e-05	0	-3.52717364404631e-08	0	2.3240402571869e-05	0	0	6.65677122688983e-15	-0.000280321420934734	0	-0.000155685101559879	0	-5.44236020709257e-11	0	1.3496239350499e-17	0	9.48045472250212e-08	0	-7.22990702285651e-05	-1.77052226856152e-06	0	-0.000111679672982485	-0.00225820651233651	0	0	0	0	0	0	-1.38406227308483e-05	0	0	0	-1.7195274524869e-11	0	-3.58412731535451e-05
path:hsa00071	Fatty acid degradation	-0.000612480728545178	-0.00474859737984232	0	1.72521997310917e-07	0	-7.19748524218061e-05	-0.00302738080489914	0	1.1811320634547e-05	-3.7080017759279e-06	0	-0.00359526797911755	0	-2.46807840419987e-09	1.24658686209557e-11	1.46473168305981e-15	5.04543081027411e-09	2.18944839561253e-06	0	-0.0126131070956104	-0.00517080020868859	0	-0.149475962988858	-0.00204501296975182	0	0	0	0	0	0	-0.0485819430639784	0	-3.9094797637412e-11	0	-8.28917945207553e-10	0	-0.00258491290430845
