X..Pathway.Id	Pathway.Name	hsa-let-7g-5p(+)	hsa-miR-100-5p(-)	hsa-miR-103a-3p(+)	hsa-miR-106b-5p(+)	hsa-miR-11400(-)	hsa-miR-122-5p(-)	hsa-miR-1273h-3p(-)	hsa-miR-1299(-)	hsa-miR-1307-3p(-)	hsa-miR-146-5p(+)	hsa-miR-148a-3p(-)	hsa-miR-148a-5p(-)	hsa-miR-148b-3p(-)	hsa-miR-151a-3p(-)	hsa-miR-15b-5p(+)	hsa-miR-16-5p(+)	hsa-miR-17-5p(+)	hsa-miR-191-5p(+)	hsa-miR-192-5p(-)	hsa-miR-193b-5p(-)	hsa-miR-197-3p(+)	hsa-miR-20a-5p(+)	hsa-miR-20b-5p(+)	hsa-miR-221-3p(+)	hsa-miR-223-3p(+)	hsa-miR-26b-5p(+)	hsa-miR-27a-5p(-).x	hsa-miR-27a-5p(-).y	hsa-miR-30a-3p(-)	hsa-miR-3168(+)	hsa-miR-335-5p(+)	hsa-miR-361-3p(-)	hsa-miR-361-5p(+)	hsa-miR-3615(-)	hsa-miR-375-3p(-)	hsa-miR-423-3p(-)	hsa-miR-499a-5p(+)	hsa-miR-502-3p(+)	hsa-miR-532-5p(-)	hsa-miR-548o-3p(-)	hsa-miR-582-3p(-)	hsa-miR-652-3p(+)	hsa-miR-664a-5p(-)	hsa-miR-6842-3p(-)	hsa-miR-769-5p(-)	hsa-miR-7706(-)	hsa-miR-93-5p(+)	hsa-miR-941(-)	hsa-miR-98-5p(-)	hsa-miR-98-5p(+)	hsa-miR-99a-5p(-)	hsa-miR-99b-5p(-)
path:hsa00010	Glycolysis / Gluconeogenesis	-6.62218086293677e-05	-1.67958388342442e-07	-0.0167020897277631	3.90975880552712e-14	0	5.85526041197367e-05	0	0	0	0	0.00746598301070834	0	-0.0317552775466525	1.51391419764233e-05	0.0124676954701761	0.0146211399267387	0.00355821154485525	0.00823988776735067	0	0	-0.00389912624767512	0	0	-0.0448404996202199	-5.23873721755697e-08	0	0.0167095717413654	0.0167095717413654	0.0772171520362929	0	-0.00242122754323326	0	0	0	-0.380751885562632	-2.82881235702109e-05	-0.147893536394038	0	0.000142357946493454	0	-8.99985933826637e-13	0	0	0	-0.00956182233589003	0	0	0	0.00929051720910619	-0.00876823978879375	0	0
path:hsa00020	Citrate cycle (TCA cycle)	6.96385104152518e-07	-7.95988966480797e-08	0.00201047648192649	-8.83213819363349e-16	0	0	0	0	0	0	0.00413685541460801	0	-0.0177522302328603	2.08852059270109e-05	5.76432880695285e-05	-7.18393545225868e-06	0.0113680370610159	0.0115157234455271	0	0	-0.00146850787281898	0	0	0.00101294608955796	-0.000452136837573557	0	0.0119467373541764	0.0119467373541764	0.115280807481641	0	0	0	0	0	-0.381215386635019	-4.25505862794616e-05	-0.25841431103269	0	-7.40314026218503e-05	0	-7.76745954382539e-09	0	0	0	0.000126707004420212	0	0	0	-0.00532273007242033	0.00502350650190497	0	0
path:hsa00030	Pentose phosphate pathway	-6.66378018729201e-05	-1.94105183045148e-09	0.018445218276176	1.0344447971962e-14	0	6.59118538257397e-07	0	0	0	0	-6.12064804896525e-08	0	0.000469824521490388	-3.17870760071209e-06	-0.00464937425789607	4.58476242331151e-05	-0.0218151127596169	8.77105132891311e-07	0	0	-3.91886404060645e-05	0	0	-0.0118639087071666	-9.3261213418819e-10	0	-7.49232407988857e-05	-7.49232407988857e-05	3.51694789332761e-05	0	-4.30625455051454e-05	0	0	0	8.3989216515247e-05	6.76115590206474e-06	-2.26348017080758e-05	0	2.67639386251439e-05	0	-1.60217580617038e-14	0	0	0	-0.00256344598020553	0	0	0	0.00331393897404344	-0.00312764197254391	0	0
path:hsa00040	Pentose and glucuronate interconversions	6.77735547882252e-05	-1.1408013255211e-11	0.00114615795687593	5.74357003308737e-17	0	7.71265243736564e-05	0	0	0	0	7.49605319667377e-07	0	-0.00125664222494445	1.89332035604756e-06	0.0221105106263691	0.00802856449157367	0.0030299550009579	0.00837421363681751	0	0	8.18330886505011e-06	0	0	-6.58722347586443e-05	-7.15781322445413e-07	0	0.00551684779342364	0.00551684779342364	-0.000294611674949463	0	-1.34898745774399e-06	0	0	0	4.80200380816445e-07	-4.13477487279393e-06	0.00293581982568547	0	0.00199985089914918	0	-1.22967252439723e-11	0	0	0	0.00148956350305817	0	0	0	0.0114609647702037	-0.0108166730715018	0	0
path:hsa00051	Fructose and mannose metabolism	7.06673323091607e-05	-2.81347337828929e-09	-0.00164760472928372	1.49825493456801e-14	0	6.73149390500792e-05	0	0	0	0	1.05688307462372e-07	0	0.0305141241389433	3.45238707423358e-06	0.0222412063877575	0.00800451408494541	0.00341868891813782	0.00835054223944534	0	0	-7.41884252622242e-05	0	0	-0.0171832849968942	-5.19366105453884e-08	0	0.00556127445250449	0.00556127445250449	-0.000321789939711184	0	-0.00239832538469046	0	0	0	0.000121630173250253	-7.54817946340736e-06	0.00289576430508289	0	2.00822323888391e-05	0	-8.9224209958139e-13	0	0	0	-0.00313571556813433	0	0	0	0.00261810800857186	-0.00247092796831791	0	0
path:hsa00052	Galactose metabolism	-0.000131970965200016	-8.23860447773444e-08	-0.0142192877583964	1.21566398639374e-14	0	0.0229623835339916	0	0	0	0	0.00373541781147575	0	-0.0180711832222302	4.97587896796911e-06	0.022141672043022	0.00801031772136012	0.00415050675626903	0.00836457592186459	0	0	-0.00084509886150833	0	0	-0.0139422872948435	-5.22201639129037e-08	0	0.00563085844259612	0.00563085844259612	-0.000229327410914721	0	-0.00241112363866248	0	0	0	0.000263844586307621	-9.59811543480635e-06	-0.072452001317338	0	-2.3179368472793e-05	0	-8.97113388818758e-13	0	0	0	-0.0211205536643402	0	0	0	0.00191558415409525	-0.00180789732376339	0	0
path:hsa00053	Ascorbate and aldarate metabolism	-2.47299804022522e-07	-6.52766085539594e-13	2.95563180533157e-05	0	0	0	0	0	0	0	6.83006922202495e-07	0	-0.000366847564057306	-2.31195219864816e-06	-1.72593446282654e-05	1.06906777752447e-06	-8.54570102828888e-05	0	0	0	-4.43698398724913e-05	0	0	0	-7.15752314663713e-07	0	-9.54469890044056e-05	-9.54469890044056e-05	-9.122244973109e-05	0	0	0	0	0	1.74406791896941e-08	4.75850638354732e-06	-1.10557869943616e-05	0	0.00202223788061065	0	-1.2296226906407e-11	0	0	0	-0.00115651459362149	0	0	0	0.0123549652551724	-0.0116604162611512	0	0
path:hsa00061	Fatty acid biosynthesis	-0.000129065694297314	1.158012428743e-05	0.0094641482859914	0	0	0.0303478988606758	0	0	0	0	-2.53494820767018e-07	0	-0.0173989893732613	-0.00025994777212885	-0.00899934621309611	-0.000195959304240614	-0.00972969512528971	-0.00823175714189295	0	0	0.00115913545233849	0	0	0	0.0299943269672797	0	0.00543877738369631	0.00543877738369631	0.0157209692776382	0	7.32487602678506e-08	0	0	0	-6.19422161436778e-05	0.000531116661232012	-8.11001884365961e-05	0	2.53537344114788	0	2.46666825017991e-06	0	0	0	-0.00712536297501727	0	0	0	-0.00165944118915296	0.00156615373874261	0	0
path:hsa00062	Fatty acid elongation	-5.92885099862631e-07	-2.32267225248715e-15	3.0553630200654e-05	0	0	0.000139150131726253	0	0	0	0	1.80637315526923e-05	0	-0.000152531193611835	-6.42023823743471e-08	-4.13781495053702e-05	-4.5593055299148e-08	-2.35835927285535e-07	0	0	0	-0.000260320748546134	0	0	0	2.14742353736353e-09	0	-2.63748897048353e-07	-2.63748897048353e-07	6.93495668890382e-07	0	8.67872042030605e-05	0	0	0	6.537536394404e-07	1.83094641727373e-07	-1.14984388258531e-05	0	0.0191395591773196	0	0.00231205307720924	0	0	0	-0.00165396047182619	0	0	0	0.00310087674407088	-0.00292655728799014	0	0
path:hsa00071	Fatty acid degradation	-6.76646244089712e-05	-1.80292343326983e-07	-0.0149305888097905	0	0	0	0	0	0	0	0.00838137509246671	0	-0.00172134758969136	8.5453593181011e-08	-0.00472239384269877	-0.000231806878317086	1.30540184872033e-06	0	0	0	-0.00483664026081608	0	0	0	6.16777193727824e-08	0	0.00549825136781363	0.00549825136781363	0.0187039057157986	0	0.00221511929225197	0	0	0	0.000343774408107856	3.22625332041259e-06	2.49206904251069e-05	0	0.000114272705622284	0	0.0590118488442605	0	0	0	-0.0101174646227989	0	0	0	-0.00405319163954744	0.00382533667454507	0	0
path:hsa00100	Steroid biosynthesis	-2.94562431465052e-09	-8.38001599557166e-13	-0.000542415452746589	-1.95270785999941e-13	0	0	0	0	0	0	2.90507341875131e-08	0	-0.000233319681783791	8.95897258569131e-10	-2.05577887115215e-07	6.72218352494558e-08	-2.89457589955437e-08	3.39868427592721e-13	0	0	0.00012106841192413	0	0	0	-2.23411598214665e-10	0	-5.08950647461761e-06	-5.08950647461761e-06	-5.4171448366707e-05	0	0	0	0	0	8.54203320959225e-09	-5.14856483336874e-08	-1.82394406055851e-05	0	0.000121417954863216	0	-3.83808707130938e-15	0	0	0	-0.00122117114183031	0	0	0	-0.0120425689506669	0.0113655816846271	0	0
path:hsa00120	Primary bile acid biosynthesis	-6.79414899986666e-05	-5.73540367421671e-11	-0.000732863661400888	0	0	0	0	0	0	0	-2.44593365168348e-07	0	-0.00017578204753424	-0.000254938795640749	-0.00474171661833601	0.00987650639395313	-2.84763093432219e-05	0	0	0	0.000148500332382832	0	0	0	-5.2429997111799e-13	0	-3.01819441567561e-05	-3.01819441567561e-05	0.0175005456809989	0	0	0	0	0	-3.17277702250275e-08	0.000523344767834742	-4.39816215419623e-05	0	-2.32744333129039e-05	0	-9.00718206537478e-18	0	0	0	-0.00369117561984273	0	0	0	-0.0174334531744229	0.0164534109715894	0	0
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	5.5976556443324e-12	0	0	0	0	0	0	0	0	0	2.79414448329017e-10	0	0	0	0	0	0	0	-1.3362801945338e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.75128640902994e-15	0	0	-7.17218708202971e-15	0	0	0	0	0	1.26650690182776e-16	0	0	0	2.71916356744178e-11	-2.56630256934588e-11	0	0
path:hsa00140	Steroid hormone biosynthesis	-0.000136050851927801	-3.41658677403072e-10	-0.0331338652275504	-4.34578772370914e-18	0	9.22835407569432e-05	0	0	0	0	1.23413247383986e-05	0	-0.000743211423643797	-0.000509161806625307	-0.00948684859225829	0.016632905342115	-2.43447032445831e-05	4.00962354695981e-06	0	0	-0.000193148918587117	0	0	0	-8.98361895918046e-07	0	0.00536634286971228	0.00536634286971228	0.0564619484811604	0	2.22738812482757e-10	0	0	0	8.17244385961861e-06	0.00104415287420514	-0.000127494636894468	0	0.0435056131526873	0	5.91843628943056e-09	0	0	0	-0.00473632062456276	0	0	0	0.445472846704243	-0.420430063406034	0	0
path:hsa00190	Oxidative phosphorylation	-1.89050089697031e-08	-4.51383982680711e-22	0.00983313654652885	0	0	0	0	0	0	0	-5.11091697506467e-10	0	0.000262156255681738	-5.23204815157438e-07	-1.31940284505377e-06	2.0347624712465e-05	-0.0100208761443256	0	0	0	-0.000157629761115966	0	0	0	8.00147032299208e-20	0	1.53565206971392e-06	1.53565206971392e-06	-7.00556555421783e-11	0	0	0	0	0	-2.48626711738816e-09	1.16975633778901e-06	-1.45325683380876e-05	0	2.03385220358198e-05	0	1.3746081243568e-24	0	0	0	-0.00155081183954766	0	0	0	0.00142911014388609	-0.00134877102578408	0	0
path:hsa00220	Arginine biosynthesis	6.82102911129822e-05	-4.28358751431556e-08	-0.0431143704817452	2.6910421058727e-15	0	0	0	0	0	0	-1.17326234017721e-05	0	0.0513581048777867	6.94673501652682e-06	0.00476047656472729	4.68228176350029e-09	-0.000127119982045967	-4.68375361130077e-15	0	0	-0.014176586349873	0	0	-0.00308632011662192	9.59363356366251e-12	0	-1.65142937872905e-05	-1.65142937872905e-05	0.0763217428791336	0	0	0	0	0	0.000965331523057485	-1.36977025256359e-05	-0.00755987406013711	0	0.00047681087136361	0	1.6481329188735e-16	0	0	0	-0.00695135937626691	0	0	0	0.00498427392590998	-0.0047040770682363	0	0
path:hsa00230	Purine metabolism	2.41468552034764e-08	2.86160884161473e-08	0.0233653721463271	-8.1685052260025e-09	0	4.30305131048291e-09	0	0	0	0	4.44382732569515e-05	0	0.0888948439219347	-8.03788609202099e-07	9.99838744171139e-06	-6.23647233878573e-05	-0.0648366413958826	9.90093226817128e-06	0	0	-0.00208944186312192	9.13495585157105e-05	0	-0.000269727625518835	-0.00018146535464566	0	-8.90874909998073e-05	-8.90874909998073e-05	0.0283275721044258	0	-0.000810389413059425	0	0	0	-0.00480883148092626	1.99744617961586e-06	-0.0734922373765424	0	5.81230338800824e-05	0	-3.11747392311687e-09	0	0	0	-0.0128367405866059	0	0.000247181158336628	0	-0.0131628199864613	0.012422856482618	0	0
path:hsa00232	Caffeine metabolism	-1.15003084617841e-22	0	-0.00292797584146943	0	0	0	0	0	0	0	1.17177291222838e-12	0	2.52110224910022e-05	6.68369614085434e-17	-8.02620074277181e-21	-1.58641266269646e-15	0	0	0	0	-0.000186741192109734	0	0	0	-1.26971177786567e-12	0	-8.72517702367989e-18	-8.72517702367989e-18	0	0	0	0	0	0	2.7343861271091e-30	1.26139037478512e-09	4.59772635723869e-18	0	1.53255372879996e-06	0	-2.18129425591997e-17	0	0	0	1.17366404110136e-08	0	0	0	-3.67396034266769e-08	3.46742431384273e-08	0	0
path:hsa00240	Pyrimidine metabolism	0.000133506822270664	3.2103703516909e-13	-0.00562619199628414	0	0	0.181877534470436	0	0	0	0	-1.11389333648749e-08	0	-0.00018557429281732	-0.000258258180599987	0.00931759838994494	2.23537004268452e-07	-4.74409373494547e-05	0	0	0	0.00014487502371955	0	0	0	1.02188904074467e-11	0	-5.64262729603833e-05	-5.64262729603833e-05	0.0563508362997196	0	0	0	0	0	5.53140463091363e-09	0.000529903262222278	-5.3073308312659e-05	0	-1.35195015399645e-05	0	1.7555485690704e-16	0	0	0	-0.00298035623220418	0	0	0	-0.000460488253470633	0.000434601361310196	0	0
path:hsa00250	Alanine, aspartate and glutamate metabolism	7.00556725876484e-08	-3.27389778319927e-09	0.000749100838049655	2.07003238913285e-16	0	0	0	0	0	0	2.06028449163544e-05	0	0.0477180393335037	-0.000252529633814644	4.88926791086571e-06	-9.36756122717989e-07	0.000413063106916477	0.0010840639965869	0	0	-0.000734760643896667	0	0	-0.000237409239740147	-2.39280867214755e-05	0	0.00112329955629219	0.00112329955629219	0.00758842499992159	0	0	0	0	0	5.31879429173818e-05	0.000517657624144312	-0.0103071483478609	0	4.17927294146692e-06	0	-4.11071229160729e-10	0	0	0	-0.00275494076177497	0	0	0	0.000665562735731527	-0.000628147338843479	0	0
path:hsa00260	Glycine, serine and threonine metabolism	2.18253267452279e-08	-4.83854501207966e-10	0.0149036337561144	-0.00143961821593779	0	0	0	0	0	0	2.74229200608257e-08	0	-0.000527039731289593	5.23438183219135e-07	1.52321525331364e-06	6.85398510743378e-07	-0.000103255647666091	-4.47658758618554e-15	0	0	-0.000228149963026072	0	0	-0.00294980980377133	1.3993546601012e-14	0	-1.5160053158957e-05	-1.5160053158957e-05	-2.18750627188957e-05	0	0	0	0	0	3.92190271270346e-05	-9.24318359672764e-07	-8.75090053046327e-05	0	-9.01395307348613e-06	0	2.40401352124539e-19	0	0	0	-3.53414985341098e-05	0	0	0	-0.000226914787309458	0.000214158503985364	0	0
