X..Pathway.Id	Pathway.Name	hsa-miR-1-3p(-)	hsa-miR-11400(+)	hsa-miR-1228-5p(-)	hsa-miR-1246(-)	hsa-miR-126-3p(+)	hsa-miR-139-5p(+)	hsa-miR-142-3p(+)	hsa-miR-144-5p(+)	hsa-miR-146a-5p(-)	hsa-miR-146b-5p(+)	hsa-miR-150-5p(+)	hsa-miR-193a-5p(-)	hsa-miR-197-3p(-)	hsa-miR-199a-3p(-)	hsa-miR-199a-5p(+)	hsa-miR-20a-5p(-)	hsa-miR-215-5p(+)	hsa-miR-221-3p(-)	hsa-miR-223-3p(-)	hsa-miR-224-5p(+)	hsa-miR-3168(-)	hsa-miR-32-5p(+)	hsa-miR-335-5p(-)	hsa-miR-338-5p(-)	hsa-miR-340-3p(+)	hsa-miR-342-5p(+)	hsa-miR-363-3p(+)	hsa-miR-370-3p(+)	hsa-miR-374a-5p(+)	hsa-miR-375-3p(+)	hsa-miR-378a-3p(-)	hsa-miR-381-3p(+)	hsa-miR-409-3p(+)	hsa-miR-4433b-3p(+)	hsa-miR-450b-5p(-)	hsa-miR-493-3p(+)	hsa-miR-495-3p(+)	hsa-miR-501-3p(-)	hsa-miR-502-3p(-)	hsa-miR-542-3p(-)	hsa-miR-543(+)	hsa-miR-654-3p(+)	hsa-miR-99b-5p(+)
path:hsa00010	Glycolysis / Gluconeogenesis	2.11618824901093e-05	0	0.000115027274886002	0	0	0	0	0	-0.000231482044473805	0	0	-4.19895970856104e-07	0.00413137646518297	2.87746322928585e-06	-0.131659073423344	0	0	0.0475114097494228	5.55078093734405e-08	1.43835949364906e-07	0	0	0.00256544719344008	0	-0.51014660781173	0	0.000177922221375735	0	-0.796390361125405	0.359347467692781	0.0392310100444271	0	0	0	-0.0124379487942329	0	0	0	0	0	0	0	0
path:hsa00020	Citrate cycle (TCA cycle)	0.0120989467773317	0	0.00823493862066124	0	0	0	0	0	-0.00374727653069394	0	0	-1.98997241620199e-07	0.00155597907821469	0	-0.0104360844345739	0	0	-0.00107328190191178	0.000479068224812526	0.00539900265734394	0	0	0	0	-0.241341504868909	0	2.32071799004537e-05	0	0.0191783839484928	0.359784912503826	-0.00789891775559317	0	0	0	-0.23218826901664	0	0	0	0	0	0	0	0
path:hsa00030	Pentose phosphate pathway	0.183226547183883	0	8.22828170855349e-07	0	0	0	0	0	-2.243853452174e-05	0	0	-4.85262957612869e-09	4.15228993348622e-05	5.1394889290459e-07	-0.0437046143083048	0	0	0.0125705786641539	9.88162879985357e-10	1.43833318124871e-07	0	0	4.56275523617392e-05	0	-0.00316661347646556	0	-2.44341057385501e-06	0	1.52389500992112e-06	-7.92676633069229e-05	0.00565443610875339	0	0	0	-0.00177839210466498	0	0	0	0	0	0	0	0
path:hsa00040	Pentose and glucuronate interconversions	0.00485086416649118	0	0.00012983222144667	0	0	0	0	0	-6.69505195825291e-06	0	0	-2.85200331380274e-11	-8.67074506052468e-06	1.95994379906047e-06	-0.001337999605731	0	0	6.97958935166918e-05	7.58416609755005e-07	2.99542652841759e-12	0	0	1.42933946754701e-06	0	0.000414693554779159	0	0.000170393156823159	0	0.0139571270894501	-4.53205348087801e-07	0.0151851348900964	0	0	0	0.00114985955122962	0	0	0	0	0	0	0	0
path:hsa00051	Fructose and mannose metabolism	1.10527128142011e-05	0	0.000107605830951661	0	0	0	0	0	-8.43533421116386e-05	0	0	-7.03368344572323e-09	7.86074352683736e-05	1.15537620336192e-05	-0.0990888781696478	0	0	0.0182068019144107	5.50301982698124e-08	1.43839916063568e-07	0	0	0.00254118087509194	0	-0.0985231126392915	0	0.000171112082017024	0	0.0139173139561009	-0.000114792589110692	0.00521098718419179	0	0	0	-0.00365303087403909	0	0	0	0	0	0	0	0
path:hsa00052	Galactose metabolism	1.10810058574275e-05	0	0.000126441793906478	0	0	0	0	0	-0.000100510957322	0	0	-2.05965111943361e-07	0.00089543690699172	0.000103434239784898	-0.112171162781776	0	0	0.0147727552128072	5.53306414036746e-08	1.44518372510083e-07	0	0	0.00255474145300012	0	-0.200242540280445	0	0.000172574199123872	0	0.0139400174966589	-0.000249012250626128	0.0176010711773075	0	0	0	-0.00465198790056632	0	0	0	0	0	0	0	0
path:hsa00053	Ascorbate and aldarate metabolism	9.54508088481796e-06	0	3.36661728709665e-08	0	0	0	0	0	1.34667448795662e-05	0	0	-1.63191521384898e-12	4.70127153031903e-05	0	2.05667755558109e-05	0	0	0	7.58385874133993e-07	0	0	0	0	0	2.11340470185663e-05	0	-1.77821864955528e-06	0	2.18406308277499e-07	-1.64602307678601e-08	0.0152887593775741	0	0	0	0.0011648133275281	0	0	0	0	0	0	0	0
path:hsa00061	Fatty acid biosynthesis	-0.00773240256618483	0	9.04579670693109e-06	0	0	0	0	0	0.0018062786487448	0	0	2.89503107185751e-05	-0.00122817898769137	0	-0.00451670991575529	0	0	0	-0.0317809295340228	2.73953702125538e-07	0	0	-7.76117994268244e-08	0	-0.205658339338987	0	-0.000662546739834787	0	-0.0142525347505847	5.84600611540452e-05	0.00721502481192568	0	0	0	0.111997199675633	0	0.000642738411588564	0	0	0	0	0	0
path:hsa00062	Fatty acid elongation	-6.39495463678289e-08	0	0.000117948037693318	0	0	0	0	0	1.76726073463581e-05	0	0	-5.80668063121786e-15	0.000275826671317343	0	4.28447526452991e-07	0	0	0	-2.27533413885573e-09	1.28862545963226e-07	0	0	-9.19566564784459e-05	0	-0.00146667503884716	0	-4.97292814692584e-08	0	6.4778876498495e-08	-6.17002104876518e-07	0.00487142789467052	0	0	0	0.00109572659029447	0	0	0	0	0	0	0	0
path:hsa00071	Fatty acid degradation	-1.62262035821151e-06	0	0.000565901172192271	0	0	0	0	0	0.00180222294196271	0	0	-4.50730858317455e-07	0.00512473320298525	0	-0.00473528541012587	0	0	0	-6.53515331530513e-08	3.25698408885837e-06	0	0	-0.00234706216990003	0	-0.302742628497858	0	6.4060268209312e-08	-0.911081698426789	-0.000263040577384646	-0.00032444872289627	-0.00170420387353737	0	0	0	0.111743432692271	0	0	0	0	0	0	0	0
